"ID", "Name", "Type", "Journal", "InternalName", "Zone", "ZoneID"
105, "A Family Divided", 0, "While detouring through the swamp, the Bagot family was attacked by a powerful Bog Lurker. Their daughter Isabelle went missing in the chaos. Tristan, wounded, limped to the caravan to find help, while his wife, Aurore, left to look for Isabelle.", "A Family Divided", "", 0
3659, "Unwanted Guests", 0, "I shared everything I learned with Councilor Ralden. He plans to seal Narsis so that no one can enter or leave. I've been granted an exception while I work for the councilor.", "Unwanted Guests", "Deshaan", 57
41, "Thieving from Thieves", 0, "Jes of Wayrest told me a shipment of weapons he sent to Eagle's Watch was taken by who bandits who prey on travelers near Camlorn. Jes doesn't want his weapons in the hands of these villains.", "Thieving from Thieves", "", 0
3338, "Mists of Corruption", 0, "Sir Lanis and the Knights of the Dragon are ready to march into Cath Bedraud to deal with Angof, but the mist rising from Angof's vines creates a hazard they can't overcome.", "Mists of Corruption", "Glenumbra", 3
53, "A Crossroad", 0, "Oron awaits word from High King Fahara'jad as how to proceed with King Sebastien.  While he waits he asked me to ask Sebastien about the Shrouded Throne.", "A Crossroad", "", 0
4787, "Mourning the Lost", 0, "", "Q4787 Mourning the Lost", "", 0
45, "Aldcroft Manor", 0, "Katarin delivered Ranser's murder weapon to Countess Virolynn in Aldcroft manor.", "Aldcroft Manor", "", 0
4779, "The Amronal of Valenwood", 0, "It appears a hunting band was overcome by a powerful wispmother, as their frozen forms are scattered about the mire.", "Q4779 Wispmother", "", 0
1615, "Next of Kin", 0, "I found a letter on a dead man in Bearclaw Mine.", "Next of Kin", "", 0
423, "Missing Soldiers", 0, "Commander Lafavre has asked you to find some of his soldiers who have not reported back. He is afraid they are in danger.", "Missing Soldiers", "", 0
3009, "Turning of the Trees", 0, "The forest itself seems to have turned against the village of Deleyn's Mill and the villagers are in danger. I should see if I can help.", "Turning of the Trees", "Glenumbra", 3
56, "Spirits of the Forgotten", 0, "Abelard Yves has asked me to look into the issue of spirits who are haunting the roads outside Camlorn and disrupting trade. Camlorn is a big city, but the townspeople should be able to point me in the right direction.", "Spirits of the Forgotten", "", 0
3262, "Capture Alessia Mine", 7, "I accepted a mission to help capture Alessia Mine for the Covenant.", "Capture Alessia Mine", "", 0
560, "dummyQuest", 0, "", "dummyQuest", "", 0
6226, "Ruthless Competition", 0, "Cyrodilic Collections, a society dedicated to locating and restoring Argonian antiquities, seeks help in its mission. They want to stay ahead of their competition and preserve every piece of Argonian culture they can.", "Q6226 Acquisitions Unlimited", "Glenumbra", 3
2776, "Scout Farragut Keep", 7, "I accepted a mission to scout Farragut Keep for the Covenant.", "Scout Farragut Keep", "", 0
4369, "The Will of the Worm", 0, "To save the members of the Mages Guild that were forced to compete in the Observer's game, I decided to side with Thallik. Now I just need to find a way to win the game.", "The Will of the Worm", "", 0
58, "KG The Knowledge of Age", 0, "", "KG The Knowledge of Age", "", 0
2823, "Scout Rayles Lumbermill", 7, "I accepted a mission to scout Rayles Lumbermill  for the Covenant.", "Scout Rayles Lumbermill", "", 0
406, "Crypt Cleansing", 0, "Vestrial asked you to cleanse the Crypt of all evil.", "Crypt Cleansing", "", 0
2771, "Scout Fort Aleswell", 7, "I accepted a mission to scout Fort Aleswell for the Covenant.", "Scout Fort Aleswell", "", 0
5546, "Honest Work", 0, "Raynor and Kireth Vanos were recently marooned on the Gold Coast. The captain they hired to sail them to Sentinel delivered them to Anvil instead, and now they lack the funds to finish their journey. They asked me to help them find work.", "Q5546 Honest Work", "", 0
2932, "Capture Castle Bloodmayne", 7, "I accepted a mission to help re- capture Castle Bloodmayne for the Dominion.", "Capture Castle Bloodmayne", "", 0
189, "Out of Darkness, Light OLD", 0, "", "Out of Darkness, Light OLD", "", 0
2558, "The Slavers", 0, "Margot Oscent has a son named Lucas who's missing, and she's worried he may have been taken by the slavers.", "The Slavers", "", 0
5052, "An Offering to Azura", 0, "Sergeant Oorga is afraid she will die in her next battle and asked me to deliver an offering to Azura for her.", "V5052 An Offering to Azura", "Stormhaven", 19
61, "The Lost Courier", 0, "Roche suggested I hurry to find the courier, as the Spriggans are exceptionally dangerous.", "The Lost Courier", "", 0
2987, "Capture Brindle Lumbermill", 7, "I accepted a mission to help capture Brindle Lumbermill for the Dominion.", "Capture Brindle Lumbermill", "", 0
4206, "Nature's Accord", 0, "Inside a broken tower, I found a wounded woman named Imwyn Frost-Tree. She told me of a powerful symbol of her faith, the Sigil of Nature's Accord.", "Nature's Accord", "", 0
62, "Glenumbra Conclusion", 0, "", "Glenumbra Conclusion", "", 0
3322, "The Dresan Index", 0, "The spirit of Richard Dusant said I should take the Dresan Index to someone in the Mages Guild.", "The Dresan Index", "", 0
3653, "Ratting Them Out", 0, "Guard Rila wants me to slow down a group of agitated citizens to keep them from getting killed. She asked me to disrupt their meeting by using something they fear. I need rats.", "Ratting Them Out", "Deshaan", 57
63, "Simple Kill Quest", 0, "I met a strange man who dislikes bears.", "Simple Kill Quest", "", 0
5833, "Dark Anchors in Glenumbra", 3, "<<1>> of the Fighters Guild learned of Worm Cult activity in Glenumbra.", "FG Daily Glenumbra", "", 0
67, "Ear to the Ground", 0, "Baron Winoc tells me that Camlorn is in an uneasy state of truce between his Hands of Northmoor and the Magis Order. He is unsure where public opinion lies, and is too high-profile to ask around himself. He's asked me to ask around for him.", "Ear to the Ground", "", 0
2822, "Scout Warden Lumbermill", 7, "I accepted a mission to scout Warden Lumbermill  for the Covenant.", "Scout Warden Lumbermill", "", 0
2797, "Scout Blue Road Mine", 7, "I accepted a mission to scout Blue Road Mine for the Covenant.", "Scout Blue Road Mine", "", 0
1079, "Join the Tavern Brawl", 0, "", "Join the Tavern Brawl", "", 0
5118, "The Reason We Fight", 0, "", "[OLD] CL The Reason We Fight", "", 0
5924, "Relics of Yasammidan", 0, "Numani-Rasi of the Urshilaku Ashlander tribe has requested that I explore the ruins of the Daedric shrine Yasammidan and gather as many historic relics as I can find.", "VV-Q5924-1", "", 0
418, "Choice Quest", 0, "Disheveled NPC asked me to find a magical tome and bring it back to him. He says when I find it, I should quickly deliver it to him - there's no telling the evils abound...", "Choice Quest", "", 0
4345, "The Veil Falls", 0, "I'm now a full member of the Veiled Heritance. I've been told of a grand hall where their leadership council meets. And they are meeting with the Veiled Queen herself!", "Q4345 The Veil Falls", "Auridon", 381
3133, "Capture Alessia Mine", 7, "I accepted a mission to help capture Alessia Mine for the Pact.", "Capture Alessia Mine", "", 0
2655, "The Elder Scroll of Altadoon", 7, "The Elder Scroll of Altadoon has been stolen by the enemy.", "AvA-DOM-Recapture Altadoon", "", 0
4370, "A Bargain With Shadows", 0, "To save the Mages Guild members that were forced to compete in the Observer's game, I decided to side with Kinlady Estre. Now I just need to find a way to win the game.", "A Bargain With Shadows", "", 0
3852, "Rescue and Revenge", 0, "The Forlorn One asked me to use the decanter of holy water to rescue two people trapped by the fires.", "Rescue and Revenge", "Deshaan", 57
73, "Incidental Damage", 0, "The lumberjacks are fine for now, but many of their tools were damaged.", "Incidental Damage", "", 0
3819, "Healing Hearts", 0, "Acolyte Eldri collected Dremora hearts for Healer Dalen. He can turn the hearts into healing potions and wanted them to help the troops at Eidolon's Hollow. Unfortunately, Dalen departed before Eldri could give him the hearts.", "Healing Hearts", "", 0
3584, "The Coral Heart", 0, "Captain Noris came to Vivec's Antlers to defend against an incursion by Alexandra Conele of the Covenant. Alexandra wants to retrieve an artifact known as the Coral Heart from Vivec's Antlers. The Pact is barely holding its ground.", "The Coral Heart", "", 0
142, "Peering Into Darkness", 0, "There appears to be more to the Bloody Eye then it seems. Their leader keeps speaking of the battle against the flesh and the spirit, as if two different sources of a fight. I must find out what their true purpose is in order to get their assistance.", "Peering Into Darkness", "", 0
78, "Warn Sebastien", 0, "Lord Drugo has requested that I travel to Camlorn to warn Lord Sebastien of a possible assassination in his court.", "Warn Sebastien", "", 0
657, "Fadeel's Freedom", 0, "I found the last wishes of someone named Handre. He was going to use a gem he stole from the bandits to buy Fadeel's freedom.", "Fadeel's Freedom", "", 0
3026, "The Wyrd Sisters", 0, "<<1>> discovered that Reach magic has somehow corrupted the forest and silenced the elemental guardians.", "The Wyrd Sisters", "Glenumbra", 3
2809, "Scout Dragonclaw Farm", 7, "I accepted a mission to scout Dragonclaw Farm for the Covenant.", "Scout Dragonclaw Farm", "", 0
2834, "Scout Alessia Lumbermill", 7, "I accepted a mission to scout Alessia Lumbermill  for the Covenant.", "Scout Alessia Lumbermill", "", 0
5388, "Clothier Writ", 4, "I've taken a contract from one of the Writ boards, an agreement to deliver Clothier goods to an interested organization.", "Q5388 Clothier_Writ_Ver2", "", 0
143, "Embracing the Darkness", 0, "I have simply sampled a taste of the spirit world known as the Veil as it seems I would be set to return on a journey into the darkness. Before I enter this realm, I must find what I must do in order to succeed in my goals.", "Embracing the Darkness", "", 0
2504, "Azura's Relics", 0, "Supernal Dreamers attacked Azura's shrine at Weeping Giant, killed the Spirit Wardens, and stole many relics. The young novice, Sister Tabakah, asked me to help her recover them and look for a captured warden.", "Azura's Relics", "", 0
6343, "Lurcher Demonstration", 0, "Zahari asked me to help train new recruits for the Khajiit Defense Legion to fight enemies they may not have encountered in training.", "EQTR5 Training", "", 0
2745, "Scout Aleswell Lumbermill", 7, "I accepted a mission to scout Aleswell Lumbermill  for the Dominion.", "Scout Aleswell Lumbermill", "", 0
3950, "Kill the Boss!", 0, "", "Kill the Boss!", "", 0
5291, "Pledge: Direfrost Keep", 5, "Glirion the Redbeard of the Undaunted has challenged me to explore the frosty ruin of Direfrost Keep, which lies flush against the mountains of Eastmarch.", "Q5291 Pledge Direfrost", "", 0
3797, "Plague Bringer", 0, "The Llodos plague has been unleashed and it's spreading through the gorge. Despite this, some Hlaalu guards are searching for the Maulborn alchemist.", "Q3797 Plague Bringer", "Deshaan", 57
79, "Murder In Camlorn", 0, "There's been a murder in Camlorn. Someone named Ranser was killed, and because a neutral party is hard to find, they've asked me to investigate.", "Murder In Camlorn", "", 0
3806, "Undermined", 0, "The renegade Ashlanders have broken through a storage tunnel beneath Iliath Temple, taking the monks and their defenders by surprise. If the attack can't be repelled, the monastery is sure to fall.", "Undermined", "", 0
80, "Failing Crops", 0, "Tarrant Circe, a local farmer, is having a bad year. His crops are failing and he can't figure out why. He thinks he may be the victim of sabotage from a neighboring farmer.", "Failing Crops", "", 0
5041, "To Aid Davon's Watch", 0, "I met an Argonian named Onuja at Othrenis. He asked me to aid Davon's Watch in their battle against the Daggerfall Covenant.", "Q5041 To Aid Davon's Watch", "Stonefalls", 41
3443, "Capture BalfieraMine", 7, "", "Capture BalfieraMine", "", 0
3296, "Trials of the Hero", 0, "The spirits of four legendary Redguards stand around the central shrine atop HoonDing's Watch. Each poses a challenging choice based on a difficult decision they once had to make.", "Trials of the Hero", "Alik'r Desert", 104
387, "Breaking Bones", 0, "The Ashen Order have asked me to break the will of the undead skeletons infesting Silvermist Castle. Their camp is just inside the Silvermist Castle entrance, but they are unable to move further forward.", "Breaking Bones", "", 0
100, "Shornhelm", 0, "", "Shornhelm", "", 0
5383, "The Deal's Not Dead", 0, "", "The Deal's Not Dead", "", 0
2694, "Scout Ash Mine", 7, "I accepted a mission to scout Ash Mine for the Dominion.", "Scout Ash Mine", "", 0
2958, "Capture Dragonclaw Farm", 7, "I accepted a mission to help capture Dragonclaw Farm for the Dominion.", "Capture Dragonclaw Farm", "", 0
4637, "The Message", 0, "I've agreed to deliver a letter for a mysterious Imperial named <<1>>.", "CYR-CRO-Q4637-The Message", "", 0
412, "Lost and Found", 0, "Find Quest NPC's midget.  Apparently he likes to go and play with a 'puppy' somewhere in the zone.", "Lost and Found", "", 0
3223, "Capture Drakelowe Keep", 7, "I accepted a mission to help capture Drakelowe Keep for the Covenant.", "Capture Drakelowe Keep", "", 0
5584, "The Covetous Countess", 3, "A wealthy patron of the Thieves Guild takes a peculiar pleasure in owning stolen goods. Her tastes are mercurial, but her payments are like Dwarven clockwork.", "TG Rep Consignment", "", 0
2677, "Scout Fort Dragonclaw", 7, "I accepted a mission to scout Fort Dragonclaw for the Dominion.", "Scout Fort Dragonclaw", "", 0
5761, "Elemental Army", 0, "The Celestial Thief appeared to me and asked for my help discovering why the atronachs that were summoned to destroy the Dark Anchors turned against the mages of Craglorn.", "NCL Elemental Army", "", 0
123, "Find Werewolf Evidence", 0, "Dr. Holcombe has asked me to find clues to the source of the werewolf attack on Northmoor. I should return to him once I have gathered enough information.", "Find Werewolf Evidence", "", 0
3385, "Undying Loyalty", 0, "I met a sad looking dog beside a path in the Alik'r Desert. She seems to want my help.", "Undying Loyalty", "", 0
5242, "Q5242 Example Theater Quest", 0, "", "Q5242 Example Theater Quest", "", 0
198, "Rallying Cries of Northmoor", 0, "", "Rallying Cries of Northmoor", "", 0
2724, "Scout Ash Farm", 7, "I accepted a mission to scout Ash Farm for the Dominion.", "Scout Ash Farm", "", 0
134, "Rallying for the Next Wave", 0, "", "Rallying for the Next Wave", "", 0
3011, "Swine Thief", 0, "Glutton, the prized pig that belongs to the Daggerfall swineherd Wickton, is missing. Wickton suspects pig thieves, or at least one particular pig thief.", "Swine Thief", "", 0
2660, "The Elder Scroll of Ni-Mohk", 7, "Grand Warlord Sorcalin needs vounteers to capture the <<1>>.", "AvA-DOM-Capture Ni-Mohk", "", 0
5537, "His Greatest Treasure", 3, "<<1>> deciphered her father's ledger. She asked for my help with what she uncovered.", "Q5537 Quen PQ2 His Greatest Tr", "", 0
1489, "Waylaid Wine Merchant", 0, "A wine merchant named <<1>> was robbed on the road to Ebonheart. Now he's deep in his cups, and he wants help getting his shipment back.", "Waylaid Wine Merchant", "", 0
5406, "Enchanter Writ", 4, "I've taken a contract from one of the Writ boards, an agreement to deliver Enchanter glyphs to an interested organization.", "Q5406 Enchanter_Writ_Ver2", "", 0
3932, "Stolen Dream Crystal", 0, "Julian Kalere told me that Supernal Dreamers have stolen his Crystal of Power and shattered it into five shards. They plan to use the shards as foci for daedric summoning rituals.", "Stolen Dream Crystal", "", 0
153, "On the Tail of a Wolf", 0, "Caldrun has tasked me with destroying the abomination that is Gargast. I must track him down and rid the world of him", "On the Tail of a Wolf", "", 0
5514, "Getting a Bellyful", 0, "An Orcish animal handler named Arushna is desperate to get her hands on special durzog feed that can only be found in the Kennel.", "Q5514 Getting a Bellyful", "", 0
523, "The Blood-Cursed Town", 0, "The town of Crestshade has been subjected to a blood-curse that turned the townsfolk feral. While some refugees were able to escape to the south, the mayor remained behind to aid any survivors.", "The Blood-Cursed Town", "Glenumbra", 3
2900, "Scout Blue Road Lumbermill", 7, "I accepted a mission to scout Blue Road Lumbermill for the Pact.", "Scout Blue Road Lumbermill", "", 0
157, "Trouble in Grayborne", 0, "Brennoc has asked me to speak to Inquisitor Roche about a troublesome villager.", "Trouble in Grayborne", "", 0
2675, "Scout Fort Ash", 7, "I accepted a mission to scout Fort Ash for the Dominion.", "Scout Fort Ash", "", 0
701, "Queen's Emissary - Isque", 0, "I visited all the High Kinlords and Kinladies of Summerset, seeking their support for Queen Ayrenn's invasion of Tamriel. This approval was symbolized in the forms of Batons of Fidelity, which I entrusted to Canonreeve Lefalto's safekeeping.", "Queen's Emissary - Isque", "", 0
2789, "Scout Ash Mine", 7, "I accepted a mission to scout Ash Mine for the Covenant.", "Scout Ash Mine", "", 0
4540, "Timberscar Troubles", 0, "Ufgra is worried about a tribe of Goblins that has moved into Timberscar Hollow.", "Timberscar Troubles", "", 0
2942, "Capture Farragut Mine", 7, "I accepted a mission to help capture Farragut Mine for the Dominion.", "Capture Farragut Mine", "", 0
3657, "Carving Cuttle", 0, "Orona, one of the Deepcrag miners, mentioned that killing the kwama and letting them rot is a waste. She'd much rather harvest their cuttle, which apparently has a lot of profitable uses.", "Carving Cuttle", "", 0
235, "Binding the Grave", 0, "Cleric Sellan has armed me with a blessed chain with which to bind the evil in Silvermist Castle. He believes the source is a crypt in the graveyard.", "Binding the Grave", "", 0
4717, "Prisoners of the Sphinx", 0, "Within Fort Sphinxmoth I encountered one of the chapel guards. She believes more of her companions were still alive elsewhere in the complex.", "Prisoners of the Sphinx", "", 0
3416, "Signals of Dominion", 0, "Aldmeri Dominion forces have captured Farwatch Tower. They're using the tower to signal their fleet at sea.", "Signals of Dominion", "", 0
4476, "Tip of the Spearhead", 0, "Now that I've recruited at least one of the people Kaleen wanted, we can pull off her heist whenever I'm ready.", "Tip of the Spearhead", "Glenumbra", 3
2878, "Scout Glademist Farm", 7, "I accepted a mission to scout Glademist Farm for the Pact.", "Scout Glademist Farm", "", 0
3593, "Intruders in Deshaan", 0, "Dark Elves have been disappearing along the road to Narsis, near the western mountains. An incursion of Orcs may be responsible. I offered a Dark Elf scout my assistance.", "Intruders in Deshaan", "", 0
171, "Artifacts of the Mundus", 0, "I've agreed to help Oron, High King Fahara'jad's emissary, prove King Sebastien is innocent of Ranser's murder. I'm to work with High Priest Canning of the Order of Arkay to summon Ranser's spirit, so Ranser's shade can name his killer.", "Artifacts of the Mundus", "", 0
4653, "Stonefire Machinations", 0, "According to Centurion Gavo's confession, the Stonefire cult plans to summon a Dark Anchor within Arenthia.", "Q4653 Stonefire Machinations", "Reaper's March", 382
3120, "Capture Warden Mine", 7, "I accepted a mission to help capture Warden Mine for the Pact.", "Capture Warden Mine", "", 0
702, "Queen's Emissary - Orrery", 0, "I visited all the High Kinlords and Kinladies of Summerset, seeking their support for Queen Ayrenn's invasion of Tamriel. This approval was symbolized in the forms of Batons of Fidelity, which I entrusted to Canonreeve Lefalto's safekeeping.", "Queen's Emissary - Orrery", "", 0
2941, "Capture Kingscrest Mine", 7, "I accepted a mission to help capture Kingscrest Mine for the Dominion.", "Capture Kingscrest Mine", "", 0
467, "Sir Hughes' Fate", 0, "After murdering Duchess Lakana, Sir Hughes fled to Firebrand Keep. I've come to confront him and if necessary, bring him to justice for his crimes.", "Q467 Sir Hughes' Fate", "Stormhaven", 19
2710, "Scout Bloodmayne Mine", 7, "I accepted a mission to scout Bloodmayne Mine for the Dominion.", "Scout Bloodmayne Mine", "", 0
4949, "Favor for the Queen", 0, "Queen Maraya has asked a personal favor. She's heard disturbing rumors about some of her father's enemies returning, so she's asked me to go to Sentinel in the Alik'r Desert and ensure that both the kingdom and her father are safe.", "Favor for the Queen", "", 0
180, "A Ritual in Camlorn", 0, "High Priest Canning is almost ready to complete the ceremony to summon Ranser's spirit. I must be ready for whatever comes next.", "A Ritual in Camlorn", "", 0
4654, "An Unusual Circumstance", 0, "I decided to ask Tzik'nith for help getting into the tower. Before she shows me the secret, however, she wants me to help her against the Wood Elves.", "An Unusual Circumstance", "Coldharbour", 347
2774, "Scout Arrius Keep", 7, "I accepted a mission to scout Arrius Keep for the Covenant.", "Scout Arrius Keep", "", 0
5013, "Hushed Whispers", 0, "I've found a scroll bearing marks from the Aldmeri Dominion. It details a series of unsolved murders in <<1>>.", "Q5013 Hushed Whispers", "Shadowfen", 117
1339, "A Predator's Heart", 0, "Knarstygg and Dro-Dara have decided it would be wise to go to Wayrest until the bandits clear out of the plantation. Knarstygg is concerned that Murk-Watcher might not want to leave.", "A Predator's Heart", "", 0
4929, "A Dagger to the Heart", 0, "Using the codebook I discovered, Adusa has determined that Montclair's nephew, Rohlbert, is behind the assassination plot. She believes that if we eliminate Rohlbert, we can end this part of the Montclair threat once and for all.", "Q4929 A Dagger to the Heart", "", 0
192, "Murder on the Docks", 0, "I found a body weighted with heavy rocks in the sea beneath Camlorn's docks. I've decided to investigate the murder.", "Murder on the Docks", "", 0
5240, "Uncaged", 0, "Outside the ancient ruins of Skyreach Pinnacle, I met a member of the Scaled Court. He told me that the Court accidentally released creatures from magical wards the Nedes set up long ago. He plans to reestablish the wards, but he needs help.", "[OLD] CL Uncaged", "", 0
196, "The Third Squad", 0, "Captain Blanche Geves sent me to look for the Third Squad soldiers who were scattered after a vicious undead attack. They are near the Redoubt and may be pinned down, unable to escape.", "The Third Squad", "", 0
2924, "Capture Farragut Keep", 7, "I accepted a mission to help capture Farragut Keep for the Dominion.", "Capture Farragut Keep", "", 0
197, "Rallying the Redoubt", 0, "Inquisitor Blarae has seen Morholdt as well - he has attacked the Redoubt many times. Also, the failed ritual in Camlorn caused the number of undead attacking the Redoubt to greatly increase. They threaten to overrun the Redoubt and destroy Camlorn.", "Rallying the Redoubt", "", 0
5490, "Knowledge is Power", 7, "The Drake of Blades wants me to recover a book that the Daedra refuse to burn and whose contents must therefore be very important.", "IC-AR Knowledge is Power", "Imperial City", 584
3142, "Capture Ash Lumbermill", 7, "I accepted a mission to help capture Ash Lumbermill for the Pact.", "Capture Ash Lumbermill", "", 0
2784, "Scout Castle Bloodmayne", 7, "I accepted a mission to scout Castle Bloodmayne for the Covenant.", "Scout Castle Bloodmayne", "", 0
210, "Cleansing the Lake", 0, "Thetis has finished mixing a remedy he believes will clean out the lake.", "Cleansing the Lake", "", 0
3211, "Capture Bloodmayne Farm", 7, "I accepted a mission to help capture Bloodmayne Farm for the Covenant.", "Capture Bloodmayne Farm", "", 0
4584, "Pilfered Urn", 0, "I found an exquisitely carved urn within Old Sord's Cave. It appears to belong to <<1>> of Windhelm.", "Pilfered Jar", "", 0
617, "Meeting of the Minds", 0, "", "Meeting of the Minds", "", 0
231, "Quelling the Dead", 0, "The Ashen Order (a.k.a. the Gravebinders) have asked me to help cull the horde of undead infesting Silvermist Castle. Their camp is just inside the Silvermist Castle entrance, but they are unable to move further forward.", "Quelling the Dead", "", 0
2970, "Capture Bloodmayne Farm", 7, "I accepted a mission to help capture Bloodmayne Farm for the Dominion.", "Capture Bloodmayne Farm", "", 0
4697, "To Rawl'kha", 0, "Clanmother Kazirra told me to travel to the city of Rawl'kha, to bring word of the Mane's change of heart.", "Q4697 To Rawl'kha", "Reaper's March", 382
328, "Serpent Slayer", 0, "", "Serpent Slayer", "", 0
5556, "A Flawless Plan", 3, "<<1>> wants to know what really happened to <<2>>'s dowry. She has a plan to uncover the truth of what happened during the guild's failed heist.", "Q5556 TG4 A Flawless Plan", "", 0
3050, "Cursed Treasure", 0, "The Bloodthorn cult is attempting to take control of the spirits of High Rock knights laid to rest at the Burial Mounds. They also seek to control the ancient kings buried there, and have stolen their regalia for some dark purpose.", "Cursed Treasure", "", 0
3855, "Mystery of Othrenis", 0, "<<1>> believes the spirit of a long-dead mage may know the secret to imprisoning Balreth again. An Argonian scout named <<2>> has already left for Othrenis.", "Mystery of Othrenis", "Stonefalls", 41
405, "Vestrial's Research Book", 0, "Vestrial has asked you to recover the missing pages of his research book.", "Vestrial's Research Book", "", 0
3422, "Capture the Farm", 7, "", "Capture the Farm", "", 0
3269, "Capture Bloodmayne Mine", 7, "I accepted a mission to help capture Bloodmayne Mine for the Covenant.", "Capture Bloodmayne Mine", "", 0
703, "Queen's Emissary - Dusk", 0, "I visited all the High Kinlords and Kinladies of Summerset, seeking their support for Queen Ayrenn's invasion of Tamriel. This approval was symbolized in the forms of Batons of Fidelity, which I entrusted to Canonreeve Lefalto's safekeeping.", "Queen's Emissary - Dusk", "", 0
3064, "Rally Cry", 0, "The city of Camlorn has fallen to Faolchu and his werewolf legion. The Lion Guard struggles to retake the city, but the odds are against them.", "Rally Cry", "", 0
4145, "Mine All Mine", 5, "Tervur Sadri, the co-owner of the Darkshade mine, wants me to help him find his partner, Selos, and get rid of the thugs who've displaced his miners.", "DUN-DS I Mine All Mine", "", 0
3141, "Capture Glademist Lumbermill", 7, "I accepted a mission to help capture Glademist Lumbermill for the Pact.", "Capture Glademist Lumbermill", "", 0
